absolute,accordian
abundant,acid
acrobatic,acorn
active,addax
adept,adventure
admirable,afternoon
admired,agouti
adorable,airplane
adored,albatross
adoring,alchemy
advanced,algorithm
adventurous,alien
affectionate,alligator
agile,almond
agreeable,alpaca
altruistic,alpha
amazing,amethyst
ambitious,amulet
amiable,anaconda
angelic,analysis
animated,anchor
approachable,anemone
ardent,angel
artistic,answer
astonishing,ant
astounding,anteater
athletic,antelope
audacious,antlion
authentic,apple
awesome,apricot
balanced,armadillo
beautiful,armor
benevolent,array
blissful,art
blue,artifact
boisterous,artist
bouncy,ash
bountiful,asteroid
brainy,astronaut
brave,atom
bright,auk
brilliant,aurora
bubbly,author
calm,autumn
candid,avocado
capable,axe
carefree,backpack
caring,bacon
celestial,badger
charming,bagel
cheerful,ballet
cheery,balloon
chivalrous,bamboo
classy,banana
clever,bandicoot
colorful,banjo
colossal,bank
compassionate,bard
competent,bark
confident,barnacle
conscientious,barracuda
considerate,basil
cool,basilisk
cooperative,basketball
courageous,bass
creative,bat
cuddly,bathroom
curious,battery
dapper,beach
daring,bear
dashing,beauty
decent,beaver
dedicated,bed
delicate,bedroom
delicious,bee
delightful,beetle
dependable,behemoth
desirable,bell
determined,beluga
devoted,beta
diligent,bicycle
dreamy,bilby
dynamic,binturong
eager,bird
easygoing,birthday
ebullient,biscuit
ecstatic,bison
educated,black
effective,blackberry
effervescent,blanket
efficient,blossom
elated,blue
electric,blueberry
elegant,boar
empathetic,boat
enchanting,bongo
encouraging,bonobo
endearing,book
energetic,boots
engaging,boulder
enlightened,branch
enthusiastic,bravery
entertaining,breeze
enterprising,bridge
equitable,broccoli
essential,bronze
euphoric,broom
even-tempered,brown
evergreen,brownie
everlasting,brush
excellent,bubble
exceptional,bucket
excited,buffalo
exciting,bull
exotic,bumblebee
experienced,bunny
expert,burger
exquisite,burrito
exuberant,bus
fabulous,business
fair,butter
faithful,butterfly
fancy,button
fantastic,cabbage
fascinating,cabinet
fearless,cactus
festive,caiman
fiery,cake
fierce,camel
fine,camera
flashy,camp
flawless,candy
flexible,canyon
flowery,cape
fluffy,captain
focused,capuchin
fortunate,car
friendly,caracal
frisky,caramel
fragrant,cardinal
fun,caribou
fun-loving,carnival
functional,carp
funny,carrot
fuzzy,cashew
galactic,cassowary
gallant,castle
generous,cat
gentle,caterpillar
genuine,ceiling
giant,cello
gifted,centaur
giggly,centipede
giddy,cerberus
glamorous,chain
gleaming,chair
glistening,challenge
glittering,chameleon
glossy,champion
glowing,chance
good,change
goofy,charity
gorgeous,cheer
graceful,cheese
